,x,y
0,724,-4
1,680,-26
2,651,-75
3,615,-101
4,593,-125
5,585,-89
6,585,-130
7,570,-118
8,580,-139
9,563,-175
10,559,-203
11,547,-205
12,542,-209
13,512,-209
14,524,-228
15,550,-235
16,570,-251
17,575,-300
18,597,-326
19,641,-332
20,668,-313
21,677,-331
22,651,-354
23,636,-380
24,611,-414
25,605,-435
26,610,-444
27,599,-471
28,544,-471
29,535,-437
30,544,-422
31,511,-440
32,499,-431
33,478,-474
34,463,-475
35,455,-526
36,457,-576
37,444,-589
38,459,-605
39,475,-615
40,465,-629
41,491,-655
42,509,-654
43,510,-671
44,527,-677
45,545,-720
46,545,-732
47,527,-771
48,519,-811
49,486,-863
50,585,-883
51,629,-857
52,675,-826
53,661,-805
54,668,-759
55,638,-722
56,610,-704
57,590,-700
58,590,-686
59,613,-684
60,646,-684
61,657,-676
62,671,-674
63,695,-711
64,689,-734
65,705,-785
66,716,-792
67,712,-818
68,746,-829
69,759,-826
70,818,-834
71,870,-825
72,900,-805
73,905,-781
74,859,-749
75,813,-709
76,765,-685
77,739,-683
78,713,-648
79,735,-634
80,728,-615
81,742,-589
82,779,-605
83,775,-584
84,764,-566
85,785,-572
86,809,-572
87,789,-550
88,775,-534
89,799,-496
90,824,-454
91,834,-416
92,837,-401
93,895,-439
94,929,-437
95,940,-395
96,929,-359
97,917,-342
98,907,-302
99,881,-292
100,846,-279
101,807,-293
102,778,-285
103,750,-297
104,732,-316
105,713,-266
106,741,-250
107,770,-218
108,778,-187
109,778,-167
110,794,-129
111,818,-96
112,830,-58
113,783,-55
114,739,-80
115,707,-102
116,735,-46
117,732,-13
118,725,-4
119,724,-4
