,x,y
0,224,-151
1,229,-129
2,231,-128
3,223,-116
4,212,-89
5,203,-89
6,212,-78
7,200,-85
8,200,-65
9,192,-86
10,183,-86
11,171,-71
12,169,-60
13,151,-63
14,141,-56
15,127,-31
16,104,-27
17,89,-48
18,93,-69
19,84,-85
20,84,-104
21,112,-104
22,122,-98
23,129,-103
24,133,-114
25,148,-114
26,153,-121
27,157,-141
28,158,-149
29,158,-160
30,154,-185
31,145,-195
32,136,-196
33,126,-211
34,97,-229
35,63,-292
36,29,-357
37,13,-424
38,36,-443
39,71,-446
40,87,-451
41,103,-453
42,106,-506
43,96,-580
44,72,-700
45,76,-708
46,65,-732
47,50,-739
48,47,-744
49,33,-757
50,30,-767
51,25,-778
52,62,-791
53,88,-788
54,166,-781
55,215,-757
56,227,-744
57,263,-737
58,294,-718
59,294,-718
60,301,-705
61,292,-698
62,242,-702
63,226,-706
64,199,-708
65,172,-704
66,206,-605
67,234,-534
68,242,-454
69,242,-433
70,237,-422
71,228,-400
72,197,-359
73,181,-328
74,178,-294
75,180,-258
76,172,-235
77,170,-210
78,178,-203
79,195,-213
80,199,-215
81,199,-248
82,203,-264
83,212,-265
84,216,-256
85,215,-234
86,215,-213
87,222,-210
88,235,-210
89,240,-208
90,243,-196
91,251,-190
92,264,-185
93,261,-193
94,261,-203
95,275,-201
96,279,-190
97,296,-182
98,298,-172
99,290,-167
100,294,-147
101,290,-141
102,297,-127
103,294,-116
104,279,-110
105,268,-123
106,264,-136
107,247,-144
108,238,-150
109,222,-152
110,224,-151
