,object,scale,angle_deg,scattered_re_0,scattered_im_0,scattered_re_1,scattered_im_1,scattered_re_2,scattered_im_2,scattered_re_3,scattered_im_3,scattered_re_4,scattered_im_4,scattered_re_5,scattered_im_5,scattered_re_6,scattered_im_6,scattered_re_7,scattered_im_7,scattered_re_8,scattered_im_8,scattered_re_9,scattered_im_9,scattered_re_10,scattered_im_10,scattered_re_11,scattered_im_11,scattered_re_12,scattered_im_12,scattered_re_13,scattered_im_13,scattered_re_14,scattered_im_14,scattered_re_15,scattered_im_15,scattered_re_16,scattered_im_16,scattered_re_17,scattered_im_17,scattered_re_18,scattered_im_18,scattered_re_19,scattered_im_19
0,bone,420.8809,19.36486,-0.26240346,0.43409804,0.34451753,-0.06897547,-0.20381932,0.09838992,0.13785638,-0.13635966,-0.08717353,0.10804599,0.044634663,-0.19309752,0.25013316,0.7423106,0.8175835,0.23009439,0.104935125,-0.3925021,-0.3915692,0.3584639,-0.043556035,-0.48063228,0.08584746,0.16743788,0.6866246,0.35355648,0.59452003,0.66247755,0.27329117,-1.0277171,-0.29242244,0.6376697,-0.18143892,-0.47859305,0.4594993,0.38664824,0.30304405,-0.15136242,0.1749556,-0.110485055
1,bone,441.5655,4.4869475,-0.47018066,0.110566966,0.18783519,0.051751208,0.2971817,0.27732873,-0.19097494,0.20535816,-0.066200234,0.08591689,0.12745067,-0.2941328,0.19948977,-0.028425355,0.3546597,-0.3497112,0.3395643,-0.6981041,-0.6239719,0.05477312,-0.36506718,0.13771547,-0.11009047,-0.8562612,0.0121001955,-0.10901098,0.34944797,0.09138526,0.7354089,0.3872983,-0.14229895,-0.973629,-0.17092322,-0.20324774,0.30262303,0.11257609,-0.62484914,-0.2521294,0.24564599,-0.0065789334
2,bone,433.7874,-11.96666,-0.33702874,0.10043944,0.041404724,-0.0059006475,0.20970882,0.08978567,0.27154115,0.13044406,0.40641537,0.014531719,0.19579627,-0.09149926,-0.18278801,-0.15629335,-0.35687158,0.1794238,-0.038329575,-0.43128273,0.32227713,0.49662516,0.26074564,-0.31179655,0.3774029,0.25040057,0.7375439,0.61114734,-0.6339766,0.29216388,0.061546724,0.04743828,-0.013921201,-0.02679732,0.45257327,-0.16269809,0.23118573,0.085903786,0.38095862,0.05618454,0.29408303,0.12684059
3,hook,381.6457,27.261385,-0.35376525,0.61408186,0.2639143,0.15500708,-0.076811165,-0.30162242,0.5366566,-0.43749005,-0.13070257,0.606967,-0.7644399,-0.051316842,0.18055366,-0.21602541,0.3132578,0.1888807,-0.0996147,-0.09933674,-0.29108775,-0.6911143,0.14826259,0.028007438,-0.10890861,1.4471862,0.45018685,0.8212253,0.18550496,0.1957881,0.36658028,0.14169076,0.27121204,0.01533438,-0.5123177,-0.33845383,0.40823567,0.3796271,0.21191028,-0.1851662,-0.5484271,1.1713604
4,treasure,389.77283,29.188704,0.19559233,1.0815498,0.056350034,-0.6339152,-0.1867251,0.5320843,-0.24690613,-0.7259089,-0.22858126,0.448291,0.15804547,0.55188763,-0.3591236,-0.55999434,-0.67294025,-0.12474458,0.565543,-0.10968496,0.53408,0.33519337,0.27117714,-0.34944814,-0.40698957,0.50732833,0.6672965,-1.1664921,-0.026866335,0.32682922,-0.15859608,0.10837,0.58464897,0.68720394,-0.541316,0.12878917,1.2676271,-1.001175,-0.6027976,0.16684847,-0.6303057,-0.7721019
5,bone,425.35837,-4.994094,-0.4408649,0.3859207,-0.018890245,0.08639542,0.2913905,-0.09964103,0.20411398,-0.13809568,0.036413606,0.065611444,0.25475678,-0.018971521,0.2980434,0.35097182,-0.27420884,-0.18020798,-0.25482726,-0.61006325,-0.3230942,0.17959295,0.29949325,-0.37770873,0.70482457,0.603607,0.23562513,-0.19022216,0.31961557,-0.44047976,0.2395898,0.09984929,-0.0131228035,-0.5355448,-0.49559104,0.6588325,-0.006388694,0.14888592,0.2507819,0.52720684,-0.676792,-0.12693852
6,bone,513.8883,-11.270724,-0.38551617,0.17923099,-0.07841619,-0.0012090079,0.13894418,-0.017121758,0.28070882,0.035074655,0.39206904,0.08827205,0.21328655,0.11630646,-0.20366362,-0.12974438,-0.30599204,-0.0929956,0.071067885,-0.3366949,0.03564655,0.08033015,-0.32951263,0.2807437,0.3607312,-0.07934653,-0.38029686,0.2354149,-0.7730602,-0.2622482,-0.12452502,-0.07299795,0.087733746,0.18215299,0.14708284,0.061001603,-0.04231,-0.14475368,-0.04604314,-0.2170123,0.23504522,-0.1823477
7,treasure,420.09006,4.6666107,0.2693758,0.4622026,0.12214048,0.36861676,-0.12999423,-0.7058826,-0.020036634,0.30755624,-0.26397285,-0.19427067,0.36055884,0.38169032,-0.07343157,-0.06896363,0.51545525,0.5288342,0.3782688,-0.09694058,-0.5330676,0.09437075,-0.28382203,0.8342082,-0.55977625,0.2642302,0.4866372,0.22255693,0.22951908,0.094702736,0.55386865,0.6046057,1.0599974,0.06865113,-0.06772552,0.26173398,-0.6908247,0.057442512,0.24198304,0.5191406,0.29998568,-0.5158324
8,treasure,400.03015,13.30828,0.3185666,0.44648838,0.26202983,-0.057350315,-0.28214046,-0.024818387,0.2776448,-0.043825235,-0.31849596,-0.030471653,0.20951007,-0.24273247,-0.043921236,0.47203532,0.4081289,0.4656348,-0.6638685,-0.16233997,0.4917637,0.7564785,0.059479598,0.07702606,1.0944347,-0.17654008,-0.19782938,-0.93320376,-0.30516648,-0.65650094,1.024738,-0.014519866,0.4535023,-0.16365965,0.30647808,0.1264703,-0.15923198,-0.27252415,0.0029806457,-0.8199776,-0.63812834,0.4845234
9,hook,346.8358,-5.79627,-0.26252246,0.9866105,0.10219001,-0.19267212,-0.5115596,-0.57855964,0.9311379,-0.9004143,-0.41919804,-0.3654307,0.10070558,-0.42953607,-0.7098164,-0.01076875,0.5425033,-0.7589382,0.0012043798,0.5676458,-0.45217723,0.7301947,0.0843424,1.5420536,-0.85809636,0.52768534,-0.23087911,-0.46500817,-0.27642244,0.9757896,-1.0052845,0.1661942,-0.4189161,-0.13710406,-0.22491392,0.13595259,-0.4222499,0.30141932,0.20541488,-0.020873778,-0.95590997,0.30511498
10,treasure,347.2892,23.053694,0.29768315,1.4343026,-0.17173524,-0.9559438,0.08893257,0.506134,0.24061234,-0.44090396,0.3723484,0.026451662,-0.50910515,-0.6188332,0.7472363,0.30255446,-0.8156587,-0.59631306,0.113845065,0.2918634,-0.4442545,1.1434653,0.22905771,0.8016403,0.10514601,0.9266299,0.351511,-0.086504325,-0.5922945,-0.08463612,0.17602654,-0.4599887,0.5256087,-0.6370905,-0.7569888,1.1512594,1.541144,-0.88946503,-0.8690194,0.2912865,-0.42718682,0.483058
11,bone,433.35754,3.9026637,-0.4199739,0.49021113,0.05745369,-0.032764092,0.32833773,-0.279067,0.23108895,0.14473997,0.15082285,0.050443172,-0.272195,0.013272589,-0.13027999,-0.18798414,-0.4938638,-0.25129455,-0.7550504,-0.042576965,0.2140839,0.79636496,-0.016529664,0.11588708,-1.0347008,-0.46002504,0.44574812,0.1339365,0.32027128,0.15383384,0.64987296,-0.0009882506,0.513925,-0.49955547,-0.32095277,-0.09558612,0.42500156,0.39010617,0.27901247,-0.2733148,-0.023858633,0.7596375
12,hook,354.068,-11.800361,-0.06784932,0.57333195,-0.035599574,-0.22173658,0.27058253,-0.8125168,1.0420698,0.43842623,0.039657686,-0.10845429,0.06466141,-0.057585124,0.4806039,-0.8312242,1.2375902,0.15798879,0.4843291,-0.053386338,0.7165052,-0.007560104,0.101402864,0.50703925,-0.753263,-0.095929585,-0.22050197,-0.018598825,0.34732643,0.28151464,-0.35072953,0.039265327,-1.0520641,-0.5906946,-0.15739106,-0.6323688,0.2550744,-0.36344838,0.06531095,-0.46819815,-0.7198605,0.18319044
13,treasure,376.27164,28.522768,0.20061307,1.2096783,0.062111825,-0.68183655,-0.2730237,0.4688277,-0.090789884,-0.6264803,-0.041774575,0.9291017,0.04968986,0.26849866,-0.08198424,-0.3917859,-0.88560593,0.44406232,0.6249244,0.4881761,0.096727856,0.6871485,1.0072929,0.17077954,-0.09445066,1.0503353,-0.6864297,-0.11026909,-1.3718257,0.53576565,1.1690605,-0.41298938,-0.81248313,-0.20358717,-0.41222814,0.37177628,0.24126644,-0.67041755,-0.70397556,0.19853614,-0.06038565,-0.69483757
14,treasure,433.6072,29.459036,0.43952352,0.67443866,-0.030891586,-0.18685026,0.05677071,0.07133397,0.1212706,0.10071905,0.06824742,0.76366204,0.53512764,-0.032965295,-0.025607076,0.011341435,0.12533416,1.1329685,0.69483036,0.74139684,-0.25104737,0.21826895,1.0839331,-1.4168874,-0.37645444,-0.21251081,0.3145573,-0.8852443,0.20164031,1.2058681,0.5445341,-0.6600065,-0.583346,-0.22133687,0.88535064,-0.26180276,-0.36432353,-0.26970884,0.6628103,-0.59261256,-0.4158573,-0.3752206
15,treasure,433.07108,3.1802478,0.19703907,0.42901108,0.36187664,0.25815836,-0.45741785,-0.33859798,0.17462559,-0.1798931,-0.42099968,0.47842345,0.64836365,-0.3737554,-0.252739,0.37982756,0.94027156,-0.06970792,0.14516601,-0.24891283,-0.13005263,0.24408719,0.08088888,0.5886388,-0.24153003,0.6920589,0.3276645,0.4397254,0.42804176,-0.44255266,0.16352846,0.7076553,1.125125,-0.5053777,0.31536266,0.27719998,-0.34206033,-0.24582703,-0.03227853,0.33668664,0.27183545,-0.45514876
16,treasure,389.1644,18.11881,0.39905754,0.67972124,-0.03933578,-0.31422734,0.23184673,0.25001866,-0.24110496,-0.10542367,0.09064527,0.018436655,0.45668665,-0.8268086,-0.0452826,-0.3175882,0.25374204,0.046278782,0.45346463,-1.1079062,0.19172534,-0.28262672,0.5369916,0.6899874,-0.048959997,0.48862857,-0.39313924,0.03241642,0.6929399,-0.025288392,0.03419002,-0.49651593,-0.14740106,0.3467241,0.23314132,0.22534408,-0.19702601,1.2707604,0.6436652,-0.9943526,-0.16908948,0.005714705
17,bone,375.09924,21.519999,-0.026403269,0.46542186,0.22472438,-0.041210648,-0.107527345,-0.049134284,-0.00011972337,0.020890523,0.14283119,-0.118301325,-0.22082983,0.6394886,0.5806009,0.7867942,0.4098309,-0.19188358,-0.5607279,-0.19523005,0.5233051,0.06279491,-0.33946934,0.30792773,-0.8307491,0.34722248,-0.38026538,1.1440974,0.49090484,-0.69674176,-0.27041543,0.11995598,-0.21550198,0.2913514,0.3497772,0.16183715,0.23955803,-0.5133341,0.11691393,-0.086240746,0.16019642,0.56243753
18,treasure,385.3209,-28.1793,-0.118483,0.9352668,0.739714,-0.14511225,-0.6806055,1.4401087,-0.7475431,-0.2706249,0.119482726,0.5729712,-0.47273603,-0.18809254,0.41382936,0.63711065,-0.9498441,0.4195619,-0.26382276,-1.0805309,-0.05056531,0.15863574,0.8273143,-0.74730194,-0.46231654,-0.21843365,0.11631965,-0.20752099,-0.54958427,0.9358046,0.24582708,0.50235337,-0.72315747,-0.53918916,-0.83089,0.89091504,-0.13471453,-0.39735544,1.4784917,0.36321735,0.3906157,-0.32600784
19,bone,386.58725,28.61852,0.0852089,0.75192344,0.2414101,-0.30390543,-0.14983155,0.022512976,-0.010563665,0.19203192,0.11455771,-0.14816381,-0.6455204,-0.9441522,-0.41158056,-0.5718662,0.31415582,0.85380185,-0.15035896,-0.6048907,-0.21467699,0.4257155,0.91912484,-0.02784319,0.50803167,0.78302115,0.50866276,-0.5467696,-0.31844693,0.008005592,-0.046315856,-0.06410884,0.03827822,0.33895692,0.35896206,0.149481,-0.07687022,0.002618534,-0.32747105,-0.3106643,-0.38729686,-0.07003969
20,treasure,428.91757,-6.8970766,0.017466782,0.7636452,0.22870018,-0.55528086,0.39380533,0.2825122,-0.82597774,0.29076737,0.9267822,-0.21854766,-0.15325406,0.1498078,-0.2668429,-0.21475273,-0.17164987,0.10969752,-0.4087965,-0.2537012,-0.12925296,0.9098138,0.25960183,-0.037915546,-0.26537466,-0.11465134,-0.35963264,-0.30074468,-0.24844109,-0.54795164,0.19650733,0.67519665,-0.39794147,0.36460942,-0.10681668,0.1312919,-0.994948,0.5161821,0.047693122,0.22073226,0.4072442,-0.85534525
