,object,scale,angle_deg,scattered_re_0,scattered_im_0,scattered_re_1,scattered_im_1,scattered_re_2,scattered_im_2,scattered_re_3,scattered_im_3,scattered_re_4,scattered_im_4,scattered_re_5,scattered_im_5,scattered_re_6,scattered_im_6,scattered_re_7,scattered_im_7,scattered_re_8,scattered_im_8,scattered_re_9,scattered_im_9,scattered_re_10,scattered_im_10,scattered_re_11,scattered_im_11,scattered_re_12,scattered_im_12,scattered_re_13,scattered_im_13,scattered_re_14,scattered_im_14,scattered_re_15,scattered_im_15,scattered_re_16,scattered_im_16,scattered_re_17,scattered_im_17,scattered_re_18,scattered_im_18,scattered_re_19,scattered_im_19,scattered_re_20,scattered_im_20,scattered_re_21,scattered_im_21,scattered_re_22,scattered_im_22,scattered_re_23,scattered_im_23,scattered_re_24,scattered_im_24,scattered_re_25,scattered_im_25,scattered_re_26,scattered_im_26,scattered_re_27,scattered_im_27,scattered_re_28,scattered_im_28,scattered_re_29,scattered_im_29,scattered_re_30,scattered_im_30,scattered_re_31,scattered_im_31,scattered_re_32,scattered_im_32,scattered_re_33,scattered_im_33,scattered_re_34,scattered_im_34,scattered_re_35,scattered_im_35,scattered_re_36,scattered_im_36,scattered_re_37,scattered_im_37,scattered_re_38,scattered_im_38,scattered_re_39,scattered_im_39,scattered_re_40,scattered_im_40,scattered_re_41,scattered_im_41,scattered_re_42,scattered_im_42,scattered_re_43,scattered_im_43,scattered_re_44,scattered_im_44,scattered_re_45,scattered_im_45,scattered_re_46,scattered_im_46,scattered_re_47,scattered_im_47,scattered_re_48,scattered_im_48,scattered_re_49,scattered_im_49
0,bone,420.8809,19.36486,-1.011516,0.67883396,0.035420008,0.2658562,0.19281861,-0.051677004,-0.15594772,0.052804366,0.11049747,-0.07905331,-0.05176499,7.77444e-05,0.06242347,0.092628404,0.46642017,0.7608092,0.9226849,-0.19705209,-0.7527117,-0.05090724,0.15242314,-0.108324066,-0.06976778,-0.019628135,0.4013636,0.14271638,0.5081749,0.8269653,0.8963792,-0.8753516,-0.5961585,0.56978846,-0.09361031,-0.52567667,0.2943681,0.35897326,0.38846076,-0.06342873,0.15886925,-0.14699605,0.2595647,-0.047220364,0.047668185,-0.06417844,-0.07286016,0.12443501,-0.09265007,0.26553994,-0.24674067,0.1455794,-0.19043176,0.019533848,0.22040913,0.37870252,-0.07931328,0.18457979,0.55541503,0.07992859,0.1219042,-0.35627794,0.08835021,-0.044140946,-0.023863504,0.8333969,-0.0018726317,-0.4017931,-0.31128943,0.061717886,-0.2936419,0.14073782,-0.44133645,-0.014083637,0.07547797,-0.10724054,0.33518365,0.56188214,-0.43710384,-0.31851226,0.23615213,0.04997451,0.02613447,0.22882307,0.22109312,-0.025899556,0.19507968,-0.08089653,-0.0891936,0.5645708,-0.27357632,0.7391787,-0.26769012,0.20281665,-0.16419032,-0.19266811,-0.17383167,-0.18221179,-0.31937793,0.025580512,-0.84220123,0.3719459
1,bone,441.5655,4.4869475,-0.7501029,0.40085277,-0.30670604,0.050575987,0.31651944,0.111738585,0.14196144,0.30318338,-0.22157018,0.13679664,0.012704205,-0.0014357176,0.23023216,-0.31983873,0.14335307,-0.0010408593,0.5048843,-0.62859464,-0.0500246,-0.389513,-0.89178437,0.19181775,0.17255229,-0.22720157,-0.37313744,-0.8694351,0.47911862,0.2946708,0.49219,0.42845774,0.20677237,-0.7615176,-0.16891812,-0.49818152,0.13434567,0.34264112,-0.4304167,-0.5234291,0.14819476,0.24119674,-0.54656035,-0.5225926,-0.11216969,0.08001671,0.12195538,0.016482534,0.3191595,0.21516317,0.43525428,0.2413429,0.38484117,0.32777333,0.34142318,0.30185395,0.4216701,0.11224109,0.075129956,0.22650594,-0.12979013,-0.068351015,0.4561964,-0.10740388,0.17373104,-0.48438126,0.29799652,0.32718405,-0.14513554,-0.5083737,0.30649245,0.029246975,0.2918316,0.18857634,-0.62214124,0.28108463,0.02122,-0.29352638,0.09948231,-0.26107454,-0.48677167,0.09736452,0.64838684,-0.37880552,-0.27142584,-0.19294862,-0.36375117,0.25278732,0.22635995,-0.14418863,0.26209635,-0.1094365,0.013590411,0.37645543,-0.038689848,0.14700717,-0.2237154,0.1592058,-0.4265319,0.51805276,-0.65031433,0.67064667
2,bone,433.7874,-11.96666,-0.7445304,0.35511345,-0.21714899,0.045633413,0.109287664,0.010012444,0.2314968,0.12263603,0.3115935,0.09623945,0.40691644,-0.019625725,-0.024999315,-0.17301069,-0.20688936,0.063389696,-0.4061944,-0.19068615,0.33146867,0.12354515,0.3052998,-0.048928443,0.03702475,0.15553129,1.1216997,0.2008852,-0.47485358,0.8196054,-0.23790492,-0.15529625,0.22267792,0.013510435,0.15982293,0.050443474,0.33086368,-0.2430466,0.44952407,0.26798132,0.15598376,0.08286002,0.13684532,-0.10597014,0.19115028,0.6779805,-0.31590837,0.314277,0.22552414,-0.13447279,-0.53834695,-0.21849497,-0.3576326,0.21874098,-0.3012489,0.05367202,-0.35808232,-0.105042405,-0.2785892,-0.20327172,-0.13150708,0.020862192,0.003245207,0.2568263,0.059133466,0.22542602,0.28633916,-0.017927535,0.014523195,0.06969572,0.02981787,0.22952726,-0.30659756,0.112380974,-0.10508798,-0.2252223,0.44713226,-0.06429208,-0.06395675,-0.44246745,0.4696626,-0.45707855,0.055613205,0.529319,-0.31490257,-0.2943079,-0.032522917,0.4277954,0.5706341,-0.33899546,-0.117986985,-0.3252133,0.13639699,0.22832485,-0.2430598,0.050679095,0.0703673,0.04850175,0.07249606,0.30350158,-0.86714494,0.5857424
3,hook,381.6457,27.261385,-1.2506361,0.5199599,-0.119485036,0.45314133,0.19768949,0.1121593,0.021181578,-0.55065626,0.5647754,-0.005801203,-0.62401956,0.518186,-0.40428734,-0.30515572,0.3811181,0.019960659,0.12511937,0.13153023,-0.27584508,-0.4242515,-0.06042064,-0.58754563,0.0674139,1.0677202,0.09632593,1.1585381,0.48215252,0.43370086,0.101064794,-0.02281594,0.5329226,0.3053835,-0.45858285,-0.5491553,0.13859652,0.46125144,0.42923978,-0.2774166,-0.50779045,1.0144868,-0.23659556,1.0031439,0.9453624,0.3611602,0.0913288,-0.24191126,0.12435255,0.4846351,0.5693024,-1.2162566,-0.08851097,-0.27837116,0.22933395,-1.1032792,-0.025525663,-1.1769726,-1.2499683,0.10171187,0.039966367,0.63752705,-0.07940935,-0.1530972,0.1660437,-0.011544041,0.03017704,0.49885526,0.3003511,0.18412763,-0.2330206,-0.0817686,-0.26465973,0.39255643,-0.08309941,0.1892114,-0.6773723,-0.25467423,0.61028624,-0.47451913,-0.33618405,-0.5595188,-0.48755988,-0.21714978,-1.1533363,0.29938698,0.30700713,0.047481824,0.37608302,0.49777466,-0.809885,-0.15547036,-0.88844657,-0.33927268,-0.4438487,0.13157621,-0.452241,-0.31534573,0.8359283,1.1245282,-1.913356,0.9444374
4,treasure,389.77283,29.188704,-0.8798427,0.20169817,0.30955228,0.61436987,-0.064068936,-0.30882913,-0.21879554,0.15426405,-0.2572657,-0.50990874,-0.05501846,0.77683043,-0.009936277,0.059139453,-0.59037423,-0.6773181,-0.10808769,0.37887782,0.4987108,-0.51314586,0.81848615,0.5484001,-0.6732452,-0.020310342,0.5792582,-0.809898,0.17090286,0.2945901,-0.23252548,-0.49457175,0.5759727,1.2413644,-0.6174772,-0.23073883,1.3934542,-0.3931816,-0.74035585,-0.2134761,-0.24178332,-0.8674679,-0.18743852,1.6272519,-0.13394944,-0.51814413,0.7175356,0.73603344,-1.0898366,-0.16130531,-0.8845474,0.17479578,0.75517166,-0.2708004,0.28186688,-0.75208604,-0.1381301,-0.97835535,0.34651202,0.019076893,0.4793912,-1.0621673,-0.36233556,0.7344796,-0.7597999,-0.0034454651,-0.09182302,0.01635446,-0.7926443,0.6239315,0.64200187,-1.1811262,-0.57463694,0.08624491,-0.6572056,0.37362728,0.12774795,0.027000587,-0.025683554,0.37871456,-0.7178257,0.08582179,-0.49527788,0.56822026,0.5100959,0.09270241,0.9508991,-0.3409543,0.21547037,-0.0066658654,0.57620263,0.08227569,0.68819696,0.45044562,-0.30325058,0.34340444,0.062388074,-0.35061106,0.27398548,0.47124264,-0.94947016,0.38200197
5,bone,425.35837,-4.994094,-0.71194315,0.5776885,-0.33799255,0.30407074,0.10041964,0.01896837,0.30419353,-0.13305804,0.12913108,-0.08494355,0.046452843,0.08731009,0.43971503,0.027259078,-0.108985364,0.34641457,-0.13830477,-0.5353055,-0.34547716,-0.39393505,-0.3334127,0.18413992,1.1405238,0.034564946,0.046684742,0.1537003,0.36060762,-0.35405636,0.32173195,0.0009432811,0.117107615,-0.574344,-0.53594697,0.5808885,-0.044903226,0.029455893,0.26827785,0.7489055,-0.6337353,-0.21510564,-0.031193743,-0.1677369,-0.047408506,0.24299267,0.81336147,0.023713138,0.17032704,-0.19841129,-0.023845272,0.09592988,-0.024009423,0.0064369473,0.07938707,0.08786399,-0.027264668,0.3977083,-0.37836185,0.27115244,-0.4051116,0.13455164,-0.0015185339,-0.3327548,0.49677464,0.07141968,-0.019330936,-0.07938472,-0.057817154,0.43722585,0.9894769,-0.33534274,-0.60206294,0.3370342,0.05261205,-0.50943947,-0.21219565,0.2886139,0.56387717,0.048292294,-0.5940626,0.28697297,0.5023963,-0.3496999,-0.17631532,0.13811551,-0.14059746,0.13944738,0.31878075,0.17441763,-0.124942064,-0.58548236,-0.18185586,-0.027779007,-0.25978205,-0.40027103,0.09317835,0.044214655,-0.2000256,0.15373737,-0.80609214,0.48401213
6,bone,513.8883,-11.270724,-0.64200544,0.3982703,-0.29897076,0.11662458,-0.0059021236,-0.02054987,0.18997225,-0.0011547022,0.32596228,0.050752074,0.3824439,0.117891304,0.018225376,0.0331439,-0.27475148,-0.1563092,-0.23105945,-0.16512643,0.28718156,-0.24223216,-0.39120266,0.29294106,0.14251779,0.10764552,0.114029355,-0.0070034447,-0.9443729,0.09194198,-0.18221302,-0.33475706,-0.07351121,0.21980125,0.25236928,0.08333439,-0.058533933,-0.08565351,-0.04209369,-0.2293208,0.17811662,-0.18540753,0.28078198,0.04725268,0.39094046,-0.052289773,-0.119560905,-0.4995873,-0.16065961,0.1370902,0.3235231,0.24067199,0.37878782,0.04732613,0.24777839,0.016985182,0.006758929,0.085198596,-0.24326763,0.09690813,-0.10353176,-0.14163499,0.2862073,-0.3524744,0.07022524,-0.022528296,0.09149733,0.21932767,0.6341612,-0.5767358,0.2754815,-0.12016984,-0.10475542,0.44131142,-0.1374879,-0.55933297,-0.069613196,-0.16450012,-0.54324186,-0.13105364,-0.024750242,-0.6558624,0.19043835,0.56478,-0.17015839,-0.3596728,-0.14203018,0.2541993,0.32579154,0.30004048,-0.037639547,0.01110164,-0.035807617,0.07597883,-0.29371694,-0.03287584,0.17212541,0.018421475,-0.16821319,0.27865863,-0.7201888,0.54232806
7,treasure,420.09006,4.6666107,-0.97394365,0.29213297,0.473923,0.42185828,-0.18016985,0.17476739,0.1980809,-0.725562,-0.5538317,0.5296989,0.52348626,-0.2838805,-0.402052,0.32731253,0.66001815,0.29491618,0.29608604,0.024165994,-0.12379754,0.123245485,-0.2687131,0.4783127,-0.65024567,0.46366778,0.06750306,0.44510773,0.59341735,-0.23922756,-0.003466559,0.8204784,1.4096991,-0.031244254,0.04448871,0.4142179,-0.57445294,-0.161852,0.007547244,0.76152635,0.32641336,-0.60868305,0.08623282,-0.029666677,-1.053837,-0.08436147,0.15208642,0.37223363,0.14333017,-0.06940312,0.22075137,-0.94302946,0.21465208,0.27278438,1.3608937,-0.69071585,-0.17696731,0.4871579,0.5786174,0.09454603,0.21626465,-0.3232793,0.6575082,-1.0300585,-0.45669132,0.13031591,-0.39230502,-0.8884454,0.01134278,0.5981895,1.0165545,-0.34297433,0.124552004,-0.079136215,0.44056928,-0.7412032,0.48396033,-1.2096436,0.10448632,0.21090253,1.08519,0.70197034,0.50792503,-0.107345924,-0.31231707,-1.1639626,0.93476266,-0.1720386,-1.0676827,-1.0096523,0.29553282,0.22981809,0.37628686,0.99795586,0.7205623,0.52696735,0.12760402,-0.3686958,0.47002026,0.7019045,-0.9641956,0.23792337
8,treasure,400.03015,13.30828,-1.2917012,0.34527293,0.751652,0.23197004,-0.24206468,0.07830911,0.12406243,-0.27617046,-0.06820218,0.2791778,-0.025308738,-0.40109903,-0.0636232,0.11122578,0.4264957,0.6200247,-0.24467836,0.10272863,-0.21996923,0.10403564,0.41225582,0.7756296,0.66559166,-0.24582557,0.35782602,-0.706718,-0.42893815,-0.6495319,0.69922364,-0.40768608,0.5314741,-0.026148908,0.5760707,0.09398932,-0.34053946,-0.099179,0.2687317,-0.9431631,-0.79278547,0.42627978,0.0630756,0.033638217,0.23609655,-0.4153382,-0.18536578,-0.47840467,0.9127049,-0.12304218,0.89136845,-0.63890815,-0.08307798,0.073301814,0.18460156,0.8351428,1.0871712,-1.3720337,0.3180057,0.39845216,-0.26758304,-0.7161383,0.29480222,-0.99870825,0.0031427944,0.040908203,-0.15086342,0.05345289,-0.61850315,0.4796651,-0.06846687,-0.050437037,-0.19486836,1.0312827,-1.7459462,-0.4818621,0.46883786,0.7097662,0.15881802,-1.0705653,0.20129526,0.41022635,-0.8708199,-0.6717662,-0.17738205,-0.05677228,0.45195317,-0.401545,-0.79363286,-0.64469564,0.30330428,0.24211788,0.31209964,0.8492864,0.8106989,0.25732327,0.24265093,-0.18886052,0.26383948,0.522231,-0.70409435,0.35408053
9,hook,346.8358,-5.79627,-1.5239822,0.29077622,0.35168624,0.3862494,-0.46649045,0.26427895,0.1185583,-1.4058689,0.5294388,-0.15962805,-0.30862638,-0.83483577,-0.20263346,0.15833014,-0.348947,-0.6494184,0.67902815,-0.091737516,-0.57751244,0.68779194,0.035702955,1.1577469,-0.46880177,1.2901926,-0.685443,-0.45858985,0.06314617,0.50163144,-1.025343,0.64668334,-0.48940024,-0.20911933,-0.3350686,-0.012752587,-0.36691615,0.49667582,0.19540903,-0.20400773,-0.9139137,0.38225055,0.44586834,0.25853732,0.5592434,-0.12598644,-0.39614522,0.6636674,0.40948257,1.0889248,-0.3914768,0.49671054,0.087848224,0.26628673,0.07682045,0.3974114,0.88104737,1.1980658,-0.36327875,-0.8292797,-0.58989763,-0.7620053,0.053040937,-0.10917301,-0.4414843,-0.14520888,-0.95336324,-0.57995963,-0.80072004,0.38977286,0.072409175,-0.33542958,0.34355515,0.58297396,-0.1480746,1.1081434,-0.51212716,0.98504734,0.34619358,0.279147,0.78722996,-0.22195363,0.10132933,0.023783349,-1.30694,-0.3630394,-0.42646658,-0.11943959,0.026856456,-0.263732,-0.17231464,0.16626415,1.3876204,-0.945743,-0.37150237,-0.41141587,-0.16798066,-0.07395626,0.8530421,0.82349515,-1.6499358,1.1094956
