,iexp,character,scattered_re_0,scattered_im_0,scattered_re_1,scattered_im_1,scattered_re_2,scattered_im_2,scattered_re_3,scattered_im_3,scattered_re_4,scattered_im_4,scattered_re_5,scattered_im_5,scattered_re_6,scattered_im_6,scattered_re_7,scattered_im_7,scattered_re_8,scattered_im_8,scattered_re_9,scattered_im_9,scattered_re_10,scattered_im_10,scattered_re_11,scattered_im_11,scattered_re_12,scattered_im_12,scattered_re_13,scattered_im_13,scattered_re_14,scattered_im_14,scattered_re_15,scattered_im_15,scattered_re_16,scattered_im_16,scattered_re_17,scattered_im_17
0,999,daisy,0.1134302,-0.58569115,0.5765769,-0.18245184,0.16650909,-0.34489125,-0.41338205,-0.06886013,-0.5406644,-0.34667948,-0.08190136,-0.9503311,-0.20004043,0.27788228,-0.1790565,0.30610657,-0.38427547,0.4486383,-0.040361837,0.547815,-0.1258494,0.6946776,-0.44019425,0.66011256,-0.40950724,0.4946029,-0.49807802,0.29011118,-0.48755538,0.65605086,-0.34940827,-0.16677018,-0.4235554,-0.12123262,0.46642748,-0.22882406
1,999,mickey,0.2942277,-0.340085,0.39382988,0.37284926,-0.22332044,0.18377545,-0.04616824,-0.08967735,-0.20286782,-0.44058555,0.45738134,-0.23678717,0.066571526,-0.22508577,0.18766855,-0.09079281,-0.15287569,0.18100916,-0.12845616,-0.0040851557,-0.2591916,0.08557447,-0.6359914,-0.32782817,-0.5097042,-0.13351928,-0.37222534,-0.59638613,-0.039920926,0.052176237,0.2772481,-0.4027278,-0.047791716,0.08892673,1.1777334,0.10373794
2,999,mickey,0.24400285,-0.037951678,-0.53976727,0.101250805,0.77747476,-0.33950177,-0.49922818,-0.27506283,-0.05370289,-0.47436634,-0.23667096,0.6897248,-0.3381916,0.2687298,-0.59139186,0.19604257,-0.77863526,-0.44792143,0.07209011,0.027648114,0.14036198,0.08664581,0.09584011,0.12809359,0.29988658,-0.008137266,0.4016063,0.06359423,-0.1778294,0.22259226,0.13174115,0.2790168,-0.1934701,0.1516144,-0.5148062,0.2573578
3,999,mickey,0.011264404,-0.19288963,0.14882022,-0.3620013,0.20073007,0.90096086,-0.07495848,-0.17276785,-0.10495563,-0.17055722,-0.49488512,-0.32309586,-0.061749507,-0.23082186,-0.044891257,-0.28156054,0.06726641,-0.35075986,0.14106016,-0.21170823,0.21759321,-0.14777492,0.17478307,0.0059201526,0.17791077,0.10432837,0.07698923,0.111370385,0.37536803,0.653065,-0.08136544,0.09212827,-0.19709522,0.13852018,0.9798091,0.2670565
4,999,daisy,-0.5816669,-0.12147871,-0.33423346,-0.7493481,0.33269244,0.524396,-0.14012146,0.4002302,-0.3459279,0.5029568,-1.1652782,0.14094937,0.10231585,0.24174124,0.1562887,0.2811528,0.35115257,0.41707256,0.10149602,0.22219132,0.103781864,0.3308147,-0.063060984,0.41639265,-0.21710834,0.20425844,-0.361052,-0.025785062,0.24620718,-0.6933492,-0.023560336,-0.31236452,0.37373227,-0.0510071,0.028651142,-0.55852365
5,999,mickey,-0.54139715,0.1884619,-0.6189891,-0.66883475,-0.14785405,0.8684086,0.035767958,0.33226323,-0.032618273,0.58399034,-1.3749174,0.49084318,0.058143925,0.109804794,0.06351771,0.070199326,0.3191922,-0.17339933,0.11038255,-0.050262462,0.27032036,-0.005335034,-0.18270922,0.6920684,0.098187394,0.16154492,-0.30774078,-0.020170262,1.0725728,0.62070584,0.02950211,-0.22168678,0.39832544,0.7276219,0.115807205,0.18001913
6,999,daisy,-0.29192612,-0.008038107,-0.15237232,-0.46317738,0.33802137,0.65217876,0.10327489,0.24724127,-0.019490937,0.3332193,-0.6390191,0.12580577,0.30283678,0.11869207,0.3736993,0.16045369,0.52590543,0.28480092,0.26785338,0.2364179,0.25431648,0.33544064,0.2078996,0.5044827,-0.14252076,0.306855,-0.33197784,0.17619565,0.12470819,-0.60572904,-0.17271408,-0.25180757,0.33583677,-0.19951043,0.05606355,-0.42790887
7,999,mickey,0.1494488,0.1587823,-0.06933372,0.09352113,0.61090654,0.09864556,0.24746437,0.00071964914,0.36890787,-0.021545902,0.26329443,0.15868197,0.46851963,0.13322088,0.5435201,0.17407879,0.7715893,0.2504772,0.42977875,0.5737285,0.23254883,0.8356195,-0.33579162,0.49722373,-0.4836286,0.45331666,-0.39556342,-0.04458409,-0.7685705,0.3795526,-0.07071923,-0.31451574,-0.38029265,-0.25300235,0.3031096,0.36372
8,999,mickey,-0.44623584,-0.08316443,-0.21810101,-0.5605162,0.19938298,0.25809896,-0.16682488,0.3481553,-0.32120752,0.4556983,-0.93146735,0.15901577,-0.14020391,0.24845785,-0.20526636,0.2788927,-0.33130234,0.18865536,-0.21660726,-0.10334617,-0.050796125,-0.29964778,0.27915764,0.048785545,0.259517,-0.077539995,0.056178592,0.31671268,-0.27325556,0.038118027,-0.26815662,0.11772684,0.036261503,-0.20718865,0.19492573,0.7741231
9,999,daisy,-0.16607782,0.020707712,-0.13829176,-0.21383995,0.39531344,0.3508523,0.05975402,0.14173414,-0.005170617,0.19162181,-0.30982244,0.18087997,0.14222877,0.033100575,0.1645895,0.0631571,0.20246367,0.14526697,0.096613616,-0.007953448,0.07126261,-0.031575978,0.06566093,-0.34022084,0.121964745,-0.049339205,0.32249066,-0.018947368,-0.4087981,0.48795277,0.07968755,0.27183682,-0.46472698,0.09352337,-0.54159814,-0.06422605
10,999,daisy,-0.15527223,0.037396073,-0.022579985,-0.53194314,1.0667267,-0.3637261,0.06572616,-0.14275707,0.1246973,0.05453617,0.100520596,-0.45002818,0.15657394,-0.32768834,0.1508586,-0.42159075,0.75754386,-0.6234156,0.48088008,-0.3538087,0.67619175,-0.21841529,0.62584853,0.14592911,0.38632396,0.31153116,0.0769078,0.39953485,-0.6056889,0.37689847,-0.36242652,0.054222967,-0.29604334,-0.37426782,0.6796535,0.44695276
11,999,daisy,0.26522273,0.25620613,0.08951744,0.067754515,-0.21389648,1.003418,0.32409403,-0.40231574,0.5250409,-0.17909984,0.112155445,0.058109734,0.08403471,-0.17233123,0.17852366,-0.35460448,0.7901726,-0.3673542,0.31429052,0.4053659,0.16378704,0.72113335,-0.63101405,0.32553053,-0.3480974,0.54232603,-0.33127347,0.018742178,-0.20759435,0.2814017,-0.04981139,-0.1638592,-0.47113666,0.08682131,0.72232044,-0.101364195
12,999,daisy,-0.24480455,-0.1278573,0.08111593,0.24375579,0.52481174,0.30973032,0.032261934,0.5078216,-0.3107239,0.34028634,0.4618087,0.540688,0.39826506,0.19849032,0.45993817,0.35360786,0.12615485,0.8042168,0.23894942,0.04405706,0.29127526,0.00986134,0.52214605,0.037177633,0.110519685,0.09031761,0.0421547,0.16329676,-0.04390796,-0.21801256,-0.108166,0.024397425,0.08579561,-0.15700747,0.0035166773,0.027974302
13,999,mickey,0.11282141,-0.24295057,0.06250569,-0.050742555,1.0757163,0.43348885,-0.18639915,-0.21052077,-0.18806772,-0.3441305,0.025649952,0.09986548,-0.0790203,-0.26283354,-0.12168946,-0.33636785,-0.24505596,-0.58407074,0.3558545,-0.38000318,0.65398127,-0.32722098,0.9839285,0.4434377,0.55887854,0.42553735,-2.9515568e-05,0.7794139,0.17764346,-0.07248306,-0.60191053,0.13908471,0.08278843,-0.2600118,0.41192508,-0.6228721
